
2025-09-24 02:15:15.773 23413-23413 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-09-24 02:15:51.403 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132503, pluginId: Network, methodName: getStatus
2025-09-24 02:15:51.403 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132503, pluginId: Network, methodName: getStatus, methodData: {}
2025-09-24 02:15:51.426 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.415 🌐 Network state: online=true webViewReady=true type=wifi
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.415 🏥 Health check: starting (online=true webViewReady=true)
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.415 🏥 Health check: using cached access token (healthy)
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.415 [send-1758660351105-qlkwuxg99d] checkHealth() -> healthy
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.415 📤 Direct send attempt 1/3 - message 1758660351105-qlkwuxg99d
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.416 🔑 getClient() called - hasClient=true isInitialized=true initPromiseActive=false
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.416 [send-1758660351105-qlkwuxg99d] using full client
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.416 [send-1758660351105-qlkwuxg99d] auth: using cached token snapshot=true
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.416 [send-1758660351105-qlkwuxg99d] postgrest present=true hasAuthFn=false
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.416 [send-1758660351105-qlkwuxg99d] fast-path: no rest.auth - using direct REST upsert (snapshot token)
2025-09-24 02:15:51.427 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.416 [send-1758660351105-qlkwuxg99d] fast-path: direct REST upsert -> https://sxykfyqrqwifkirveqgr.supabase.co/rest/v1/messages?on_conflict=dedupe_key&select=*,reactions(*),users!messages_user_id_fkey(display_name,avatar_url)
2025-09-24 02:15:51.970 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.959 [send-1758660351105-qlkwuxg99d] fast-path: direct REST upsert successful
2025-09-24 02:15:51.971 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.959 ✅ Direct send successful - message 1758660351105-qlkwuxg99d
2025-09-24 02:15:51.971 23413-23413 Capacitor/Console       com.confessr.app                     D  File: https://localhost/assets/index-D1Gkrg-J.js - Line 350 - Msg: [send-1758660351105-qlkwuxg99d] attempt-1: 543.7041015625 ms
2025-09-24 02:15:51.971 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.960 ✅ Message 1758660351105-qlkwuxg99d sent successfully
2025-09-24 02:15:51.971 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.960 [supabase-pipeline] push-fanout call: origin=https://localhost headers=[Content-Type,apikey,Authorization]
2025-09-24 02:15:52.097 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 361 - Msg: 📦 MessageCache: CACHED 10 messages for group 87faebb0-0bf4-49c9-8119-8d56abe52be2
2025-09-24 02:15:52.098 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 385 - Msg: 📦 MessageCache updated for group 87faebb0-0bf4-49c9-8119-8d56abe52be2 after realtime insert
2025-09-24 02:15:52.157 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132504, pluginId: CapacitorSQLite, methodName: run
2025-09-24 02:15:52.157 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132504, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["0e039b68-1bf5-4136-a0c7-a0c948e4cf13","87faebb0-0bf4-49c9-8119-8d56abe52be2","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Ynn6yn",0,"text",null,null,null,1758660351623,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-09-24 02:15:52.194 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132505, pluginId: CapacitorSQLite, methodName: run
2025-09-24 02:15:52.194 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132505, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"UPDATE groups SET last_sync_timestamp = ? WHERE id = ?","values":[1758660352182,"87faebb0-0bf4-49c9-8119-8d56abe52be2"],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-09-24 02:15:52.497 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:52.491 [supabase-pipeline] push-fanout response: status=200
2025-09-24 02:15:52.498 23413-23413 Capacitor/Console       com.confessr.app                     D  File: https://localhost/assets/index-D1Gkrg-J.js - Line 350 - Msg: [send-1758660351105-qlkwuxg99d] total: 1111.4150390625 ms
2025-09-24 02:15:52.498 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:52.491 [send-1758660351105-qlkwuxg99d] finished
